 ****** HSPICE -- P-2019.06-SP1-1 win64 (Sep 27 2019) ******
  Copyright (c) 1986 - 2025 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
4
#Number of plot points
100
#Number of Measures
3
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
power_avg,tpd_max_cout,tpd_max_s8,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
-8.233625e-05,2.45392e-09,3.469527e-10,0.3988551,0.1340113,0.6658514
-8.155222e-05,2.454993e-09,3.485573e-10,0.426148,0.160208,0.6944332
-8.101145e-05,2.455768e-09,3.496306e-10,0.4537622,0.1866296,0.7234447
-8.099243e-05,2.455808e-09,3.496931e-10,0.4817268,0.2132998,0.7529222
-8.073423e-05,2.456235e-09,3.503217e-10,0.5100735,0.2402438,0.7829051
-7.988218e-05,2.45757e-09,3.521913e-10,0.538836,0.2674886,0.8134364
-7.918341e-05,2.458784e-09,3.536377e-10,0.5680515,0.2950631,0.8445633
-7.886947e-05,2.459255e-09,3.543654e-10,0.5977601,0.3229984,0.8763377
-7.880145e-05,2.459428e-09,3.545551e-10,0.628006,0.3513285,0.9088169
-7.853619e-05,2.459542e-09,3.551147e-10,0.6588377,0.38009,0.9420646
-7.853449e-05,2.459584e-09,3.551809e-10,0.6903088,0.409323,0.976152
-7.795254e-05,2.460845e-09,3.563773e-10,0.7224791,0.4390719,1.011159
-7.791268e-05,2.460907e-09,3.564677e-10,0.755415,0.4693852,1.047176
-7.77715e-05,2.461188e-09,3.569119e-10,0.7891917,0.5003172,1.084305
-7.758068e-05,2.461418e-09,3.572066e-10,0.8238936,0.5319284,1.122663
-7.710765e-05,2.462213e-09,3.58445e-10,0.8596174,0.5642865,1.162385
-7.657234e-05,2.462935e-09,3.594721e-10,0.8964734,0.5974685,1.203627
-7.54753e-05,2.464834e-09,3.621377e-10,0.9345893,0.6315617,1.246573
-7.495802e-05,2.466023e-09,3.634913e-10,0.9741139,0.6666664,1.291439
-7.375086e-05,2.467942e-09,3.662865e-10,1.015222,0.7028985,1.338483
